"id","problem_number","title","latest_reference_year","references_section_present","reference_years_count"
"1882","EP-10","Erdős Problem #10","1998","true","3"
"1884","EP-14","Erdős Problem #14","1991","true","1"
"1887","EP-18","Erdős Problem #18","1985","true","3"
"1889","EP-25","Erdős Problem #25","","false","0"
"1895","EP-38","Erdős Problem #38","1942","true","2"
"1897","EP-40","Erdős Problem #40","","false","0"
"1899","EP-42","Erdős Problem #42","","false","0"
"1900","EP-43","Erdős Problem #43","","false","0"
"1902","EP-50","Erdős Problem #50","1995","true","1"
"1907","EP-62","Erdős Problem #62","1987","true","4"
"1910","EP-68","Erdős Problem #68","1988","true","2"
"1911","EP-70","Erdős Problem #70","","false","0"
"1912","EP-74","Erdős Problem #74","1982","true","1"
"1913","EP-75","Erdős Problem #75","1995","true","2"
"1917","EP-81","Erdős Problem #81","1994","true","2"
"1921","EP-87","Erdős Problem #87","1993","true","1"
"1927","EP-98","Erdős Problem #98","1993","true","1"
"1928","EP-99","Erdős Problem #99","1999","true","2"
"1931","EP-102","Erdős Problem #102","1995","true","1"
"1932","EP-103","Erdős Problem #103","","false","0"
"1933","EP-104","Erdős Problem #104","1992","true","6"
"1934","EP-108","Erdős Problem #108","1979","true","2"
"1935","EP-111","Erdős Problem #111","1982","true","2"
"1936","EP-112","Erdős Problem #112","1997","true","2"
"1938","EP-117","Erdős Problem #117","1997","true","3"
"1939","EP-119","Erdős Problem #119","1991","true","4"
"1941","EP-122","Erdős Problem #122","1997","true","1"
"1945","EP-126","Erdős Problem #126","1934","true","1"
"1946","EP-129","Erdős Problem #129","","false","0"
"1947","EP-130","Erdős Problem #130","1997","true","2"
"1950","EP-137","Erdős Problem #137","1982","true","2"
"1959","EP-151","Erdős Problem #151","1992","true","2"
"1960","EP-152","Erdős Problem #152","","false","0"
"1961","EP-153","Erdős Problem #153","","false","0"
"1962","EP-155","Erdős Problem #155","","false","0"
"1963","EP-156","Erdős Problem #156","1998","true","2"
"1964","EP-158","Erdős Problem #158","","false","0"
"1965","EP-159","Erdős Problem #159","1978","true","2"
"1968","EP-162","Erdős Problem #162","","false","0"
"1970","EP-168","Erdős Problem #168","1977","true","1"
"1974","EP-173","Erdős Problem #173","1976","true","1"
"1976","EP-176","Erdős Problem #176","1973","true","2"
"1978","EP-180","Erdős Problem #180","","false","0"
"1982","EP-187","Erdős Problem #187","1980","true","1"
"1984","EP-190","Erdős Problem #190","","false","0"
"1985","EP-193","Erdős Problem #193","1979","true","1"
"1987","EP-196","Erdős Problem #196","1977","true","1"
"1988","EP-197","Erdős Problem #197","","false","0"
"1989","EP-200","Erdős Problem #200","","false","0"
"1990","EP-201","Erdős Problem #201","1975","true","2"
"1992","EP-203","Erdős Problem #203","","false","0"
"1996","EP-217","Erdős Problem #217","1983","true","1"
"1997","EP-218","Erdős Problem #218","1985","true","2"
"2000","EP-234","Erdős Problem #234","","false","0"
"2002","EP-238","Erdős Problem #238","1949","true","1"
"2006","EP-247","Erdős Problem #247","1988","true","4"
"2007","EP-249","Erdős Problem #249","","false","0"
"2008","EP-251","Erdős Problem #251","1988","true","3"
"2010","EP-254","Erdős Problem #254","1960","true","1"
"2013","EP-258","Erdős Problem #258","1971","true","2"
"2014","EP-260","Erdős Problem #260","1981","true","1"
"2019","EP-267","Erdős Problem #267","1993","true","5"
"2020","EP-269","Erdős Problem #269","1988","true","2"
"2022","EP-272","Erdős Problem #272","1999","true","3"
"2023","EP-273","Erdős Problem #273","","false","0"
"2026","EP-278","Erdős Problem #278","1986","true","1"
"2027","EP-279","Erdős Problem #279","","false","0"
"2028","EP-281","Erdős Problem #281","1966","true","2"
"2029","EP-282","Erdős Problem #282","1964","true","1"
"2031","EP-288","Erdős Problem #288","","false","0"
"2032","EP-289","Erdős Problem #289","1980","true","1"
"2035","EP-295","Erdős Problem #295","1971","true","1"
"2036","EP-301","Erdős Problem #301","","false","0"
"2037","EP-302","Erdős Problem #302","1991","true","1"
"2040","EP-311","Erdős Problem #311","1980","true","1"
"2041","EP-312","Erdős Problem #312","","false","0"
"2042","EP-313","Erdős Problem #313","","false","0"
"2043","EP-317","Erdős Problem #317","","false","0"
"2044","EP-318","Erdős Problem #318","1982","true","3"
"2047","EP-321","Erdős Problem #321","1976","true","2"
"2049","EP-323","Erdős Problem #323","","false","0"
"2050","EP-324","Erdős Problem #324","","false","0"
"2052","EP-326","Erdős Problem #326","1957","true","1"
"2053","EP-327","Erdős Problem #327","","false","0"
"2055","EP-330","Erdős Problem #330","","false","0"
"2056","EP-332","Erdős Problem #332","1979","true","3"
"2057","EP-334","Erdős Problem #334","1989","true","1"
"2058","EP-335","Erdős Problem #335","","false","0"
